,score_differential_buckets,half_minutes_remaining,Pass %
0,-35,0,0.7755102040816326
1,-35,1,0.8
2,-35,2,0.6712328767123288
3,-35,3,0.6666666666666666
4,-35,4,0.5306122448979592
5,-35,5,0.7209302325581395
6,-35,6,0.6666666666666666
7,-35,7,0.7142857142857143
8,-35,8,0.8
9,-35,9,0.6944444444444444
10,-35,10,0.6428571428571429
11,-35,11,0.7037037037037037
12,-35,12,0.7407407407407407
13,-35,13,0.75
14,-35,14,0.7272727272727273
15,-35,15,0.7692307692307693
16,-35,16,0.5333333333333333
17,-35,17,0.7142857142857143
18,-35,18,0.8235294117647058
19,-35,19,0.5714285714285714
20,-35,20,0.7647058823529411
21,-35,21,0.6428571428571429
22,-35,22,0.5882352941176471
23,-35,23,0.8888888888888888
24,-35,24,0.75
25,-35,25,0.8571428571428571
26,-35,26,0.8181818181818182
27,-35,27,0.8571428571428571
28,-35,28,0.8333333333333334
29,-35,29,0.875
30,-35,30,0.0
31,-28,0,0.7821782178217822
32,-28,1,0.7021276595744681
33,-28,2,0.7386363636363636
34,-28,3,0.6794871794871795
35,-28,4,0.7934782608695652
36,-28,5,0.7252747252747253
37,-28,6,0.631578947368421
38,-28,7,0.6379310344827587
39,-28,8,0.6617647058823529
40,-28,9,0.6521739130434783
41,-28,10,0.6617647058823529
42,-28,11,0.6551724137931034
43,-28,12,0.7868852459016393
44,-28,13,0.7358490566037735
45,-28,14,0.6551724137931034
46,-28,15,0.7407407407407407
47,-28,16,0.7096774193548387
48,-28,17,0.7166666666666667
49,-28,18,0.7796610169491526
50,-28,19,0.8205128205128205
51,-28,20,0.7222222222222222
52,-28,21,0.6341463414634146
53,-28,22,0.675
54,-28,23,0.6451612903225806
55,-28,24,0.6875
56,-28,25,0.6129032258064516
57,-28,26,0.7
58,-28,27,0.8095238095238095
59,-28,28,0.8695652173913043
60,-28,29,0.6923076923076923
61,-28,30,0.5714285714285714
62,-21,0,0.8281786941580757
63,-21,1,0.7898305084745763
64,-21,2,0.7793696275071633
65,-21,3,0.8210116731517509
66,-21,4,0.8045977011494253
67,-21,5,0.7760416666666666
68,-21,6,0.7989690721649485
69,-21,7,0.7988826815642458
70,-21,8,0.8
71,-21,9,0.7987012987012987
72,-21,10,0.821917808219178
73,-21,11,0.7943262411347518
74,-21,12,0.7985074626865671
75,-21,13,0.7908496732026143
76,-21,14,0.722972972972973
77,-21,15,0.7745098039215687
78,-21,16,0.704
79,-21,17,0.7674418604651163
80,-21,18,0.7029702970297029
81,-21,19,0.6434782608695652
82,-21,20,0.646551724137931
83,-21,21,0.7419354838709677
84,-21,22,0.7899159663865546
85,-21,23,0.6111111111111112
86,-21,24,0.6804123711340206
87,-21,25,0.6808510638297872
88,-21,26,0.5697674418604651
89,-21,27,0.58
90,-21,28,0.6901408450704225
91,-21,29,0.546875
92,-21,30,0.6666666666666666
93,-14,0,0.8902077151335311
94,-14,1,0.9011446409989594
95,-14,2,0.8463476070528967
96,-14,3,0.8415697674418605
97,-14,4,0.845925925925926
98,-14,5,0.8264758497316637
99,-14,6,0.75591985428051
100,-14,7,0.7476280834914611
101,-14,8,0.7215447154471545
102,-14,9,0.7228381374722838
103,-14,10,0.6903669724770642
104,-14,11,0.7640449438202247
105,-14,12,0.6543478260869565
106,-14,13,0.6742596810933941
107,-14,14,0.6361256544502618
108,-14,15,0.7171253822629969
109,-14,16,0.651685393258427
110,-14,17,0.6894736842105263
111,-14,18,0.7146282973621103
112,-14,19,0.5861027190332326
113,-14,20,0.6366279069767442
114,-14,21,0.6426426426426426
115,-14,22,0.6369426751592356
116,-14,23,0.6188811188811189
117,-14,24,0.5816733067729084
118,-14,25,0.6204081632653061
119,-14,26,0.6197718631178707
120,-14,27,0.6139534883720931
121,-14,28,0.611353711790393
122,-14,29,0.5972222222222222
123,-14,30,0.4166666666666667
124,-7,0,0.9084728033472803
125,-7,1,0.8760563380281691
126,-7,2,0.8021091811414393
127,-7,3,0.7588075880758808
128,-7,4,0.7531340405014465
129,-7,5,0.6910167818361304
130,-7,6,0.6725317693059628
131,-7,7,0.6793587174348698
132,-7,8,0.6646403242147924
133,-7,9,0.6744868035190615
134,-7,10,0.6537313432835821
135,-7,11,0.6294058408862034
136,-7,12,0.6310483870967742
137,-7,13,0.6187050359712231
138,-7,14,0.6183465458663646
139,-7,15,0.6043543543543544
140,-7,16,0.5891829689298044
141,-7,17,0.659316427783903
142,-7,18,0.5818181818181818
143,-7,19,0.6226034308779012
144,-7,20,0.595
145,-7,21,0.5957446808510638
146,-7,22,0.5932872655478776
147,-7,23,0.6370967741935484
148,-7,24,0.5819502074688797
149,-7,25,0.5803237858032378
150,-7,26,0.5553997194950911
151,-7,27,0.5971479500891266
152,-7,28,0.5936254980079682
153,-7,29,0.5033112582781457
154,-7,30,0.5071428571428571
155,0,0,0.8419090231170768
156,0,1,0.7188811188811188
157,0,2,0.6005064893953783
158,0,3,0.5940078158923143
159,0,4,0.5676416819012797
160,0,5,0.5906607054148038
161,0,6,0.5761746559088752
162,0,7,0.594035594035594
163,0,8,0.5899347623485555
164,0,9,0.5819786344635393
165,0,10,0.5774580335731415
166,0,11,0.5818094321462945
167,0,12,0.5820964749536178
168,0,13,0.5828460038986355
169,0,14,0.5558482613277134
170,0,15,0.595679012345679
171,0,16,0.5803955288048152
172,0,17,0.5843935538592027
173,0,18,0.5847750865051903
174,0,19,0.580115036976171
175,0,20,0.564262023217247
176,0,21,0.5908353609083536
177,0,22,0.5787416959749903
178,0,23,0.5870535714285714
179,0,24,0.5877009084556254
180,0,25,0.5685884691848907
181,0,26,0.5834668375520666
182,0,27,0.5584133870467927
183,0,28,0.5728584044745364
184,0,29,0.5406640268047518
185,0,30,0.44840525328330205
186,7,0,0.814238042269188
187,7,1,0.5847047434656341
188,7,2,0.3653671804170444
189,7,3,0.40827147401908803
190,7,4,0.4470314318975553
191,7,5,0.48894348894348894
192,7,6,0.4980694980694981
193,7,7,0.5179233621755254
194,7,8,0.5470967741935484
195,7,9,0.535483870967742
196,7,10,0.5421245421245421
197,7,11,0.5443708609271524
198,7,12,0.5449804432855281
199,7,13,0.572039942938659
200,7,14,0.5504
201,7,15,0.5666337611056268
202,7,16,0.5890227576974565
203,7,17,0.5887850467289719
204,7,18,0.6083815028901735
205,7,19,0.5429799426934098
206,7,20,0.5458646616541354
207,7,21,0.5739837398373984
208,7,22,0.5493421052631579
209,7,23,0.563963963963964
210,7,24,0.5637860082304527
211,7,25,0.5633484162895928
212,7,26,0.5572687224669604
213,7,27,0.5963302752293578
214,7,28,0.5652173913043478
215,7,29,0.5177111716621253
216,7,30,0.4098360655737705
217,14,0,0.8282608695652174
218,14,1,0.5669856459330144
219,14,2,0.3114119922630561
220,14,3,0.25952380952380955
221,14,4,0.33249370277078083
222,14,5,0.3708206686930091
223,14,6,0.41254125412541254
224,14,7,0.42391304347826086
225,14,8,0.45149253731343286
226,14,9,0.5202952029520295
227,14,10,0.4542372881355932
228,14,11,0.5468164794007491
229,14,12,0.47686832740213525
230,14,13,0.522633744855967
231,14,14,0.48068669527896996
232,14,15,0.5686274509803921
233,14,16,0.5714285714285714
234,14,17,0.5338645418326693
235,14,18,0.5515695067264574
236,14,19,0.49261083743842365
237,14,20,0.5570776255707762
238,14,21,0.5555555555555556
239,14,22,0.5515463917525774
240,14,23,0.5887850467289719
241,14,24,0.5852534562211982
242,14,25,0.5081081081081081
243,14,26,0.5598086124401914
244,14,27,0.5615763546798029
245,14,28,0.5979381443298969
246,14,29,0.5595854922279793
247,14,30,0.4153846153846154
248,21,0,0.7215189873417721
249,21,1,0.5819672131147541
250,21,2,0.1711229946524064
251,21,3,0.25165562913907286
252,21,4,0.25384615384615383
253,21,5,0.2982456140350877
254,21,6,0.30708661417322836
255,21,7,0.36792452830188677
256,21,8,0.3548387096774194
257,21,9,0.3191489361702128
258,21,10,0.4818181818181818
259,21,11,0.3333333333333333
260,21,12,0.3404255319148936
261,21,13,0.3787878787878788
262,21,14,0.47540983606557374
263,21,15,0.4690265486725664
264,21,16,0.4105263157894737
265,21,17,0.38372093023255816
266,21,18,0.4583333333333333
267,21,19,0.5056179775280899
268,21,20,0.5121951219512195
269,21,21,0.5466666666666666
270,21,22,0.43333333333333335
271,21,23,0.4745762711864407
272,21,24,0.46
273,21,25,0.4888888888888889
274,21,26,0.52
275,21,27,0.576271186440678
276,21,28,0.5957446808510638
277,21,29,0.5208333333333334
278,21,30,0.2857142857142857
279,28,0,0.8
280,28,1,0.5384615384615384
281,28,2,0.19230769230769232
282,28,3,0.19607843137254902
283,28,4,0.23636363636363636
284,28,5,0.11904761904761904
285,28,6,0.28205128205128205
286,28,7,0.20408163265306123
287,28,8,0.2
288,28,9,0.36363636363636365
289,28,10,0.30303030303030304
290,28,11,0.3235294117647059
291,28,12,0.42424242424242425
292,28,13,0.44680851063829785
293,28,14,0.3170731707317073
294,28,15,0.27586206896551724
295,28,16,0.43333333333333335
296,28,17,0.5185185185185185
297,28,18,0.47619047619047616
298,28,19,0.4
299,28,20,0.4230769230769231
300,28,21,0.4
301,28,22,0.5263157894736842
302,28,23,0.5714285714285714
303,28,24,0.6470588235294118
304,28,25,0.5
305,28,26,0.5
306,28,27,0.5
307,28,28,0.3333333333333333
308,28,29,0.4666666666666667
309,28,30,0.0
310,35,0,
311,35,1,0.2857142857142857
312,35,2,0.13333333333333333
313,35,3,0.3157894736842105
314,35,4,0.19230769230769232
315,35,5,0.1875
316,35,6,0.3333333333333333
317,35,7,0.375
318,35,8,0.4090909090909091
319,35,9,0.375
320,35,10,0.2857142857142857
321,35,11,0.4166666666666667
322,35,12,0.1111111111111111
323,35,13,0.5384615384615384
324,35,14,0.5714285714285714
325,35,15,0.5882352941176471
326,35,16,0.42857142857142855
327,35,17,0.14285714285714285
328,35,18,0.5
329,35,19,0.3333333333333333
330,35,20,0.25
331,35,21,
332,35,22,
333,35,23,0.5
334,35,24,0.6666666666666666
335,35,25,0.75
336,35,26,1.0
337,35,27,0.0
338,35,28,0.5
339,35,29,
340,35,30,
